Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Heliomaster_constantii,1.960094784,1,0.068264421,4.171557027,23,0.011680553,3.519717036,23,0.009569578,1.386294361,1,0.062416183,1.064115853,2,0.034496436
Heliomaster_longirostris,1.916922612,2,0,4.080701943,7,0.020010485,3.523666648,7,0.024765352,1.814830047,2,0.05697213,1.137474516,7,0.031632182
Heliothryx_aurita,1.808154381,2,0.016394911,4.15214014,18,0.010793664,2.81485523,18,0.022487248,1.632951404,3,0.05344755,0.743793517,6,0.048363627
Heliothryx_barroti,1.648658626,1,0.068264421,4.174430853,6,0.022240268,2.818101978,6,0.010948633,1.545521227,2,0.063916686,0.818341003,4,0.049517886
Hylocharis_chrysura,1.446849774,2,0.011765249,3.949302084,2,0.005780411,2.881968199,2,0.008403559,1.589026915,2,0.020410997,0.974381609,2,0.018870164
Hylocharis_cyanus,1.279388249,2,0.055612818,3.854646076,11,0.010179864,2.847269073,11,0.016386451,1.492335663,2,0.03372064,0.956915244,11,0.020490018
Hylocharis_eliciae,1.358009185,2,0.07707534,3.899357948,2,0.03442655,2.798655115,2,0.057815091,1.578925562,2,0.010309644,1.006116396,2,0.217659036
Hylocharis_grayi,1.739850222,2,0.035102129,4.096546452,5,0.015246587,3.074673827,5,0.019851905,1.690681307,3,0.043418622,1.071034533,4,0.039275622
Juliamyia_julie,1.277449511,2,0.083527042,3.77431537,7,0.005361198,2.679947372,7,0.026341128,1.535975461,3,0.066199176,0.823500173,7,0.032689678
Klais_guimeti,0.874889531,3,0.118914892,3.850337223,7,0.011826341,2.516741305,7,0.037984696,1.576114424,5,0.078899265,0.697152885,7,0.05668795
Lafresnaya_lafresnayi,1.642612164,24,0.015997611,4.136369086,28,0.007102869,3.216898211,30,0.007346302,1.786953342,24,0.01343127,1.176137432,30,0.021098538
Lampornis_amethystinus,1.80002412,2,0.008264651,4.142273617,3,0.037478037,3.044295603,3,0.091599462,1.720209047,2,0.151593129,1.236014874,3,0.085997344
Lampornis_calolaemus,1.676003569,2,0.046763029,4.076702056,6,0.02393496,3.020308967,6,0.0192958,1.751273989,3,0.082196202,1.146898026,5,0.043318663
Lampornis_cinereicauda,1.526056303,1,0.068264421,4.037774211,1,0.031914097,3.077312261,1,0.03370817,1.757857918,1,0.062416183,1.029619417,1,0.070118761
Lampornis_clemenciae,1.931206252,2,0.122917481,4.311013691,26,0.01358717,3.143172039,26,0.013926477,1.680750078,3,0.075318166,1.228642099,10,0.029386155
Lampornis_viridipallens,1.606760522,3,0.126520384,4.109897562,6,0.028780276,2.962677189,6,0.060374572,1.675588352,4,0.031604643,1.084763656,6,0.057156969
